customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,online_security,device_protection,streaming_tv,streaming_movies,phone_service,multiple_lines,payment_method,paperless_billing,senior_citizen,partner,dependents,churn
CUST-000001,62,76.09,4817.17,Two year,Fiber optic,Yes,No,No,No,No,No,No,Credit card,Yes,No,No,No,0
CUST-000002,13,86.29,1225.07,Month-to-month,DSL,No,Yes,Yes,Yes,Yes,No,Yes,Bank transfer,Yes,Yes,No,No,1
CUST-000003,1,92.63,252.76,Month-to-month,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,No,No,Yes,Yes,1
CUST-000004,46,118.44,5853.2,One year,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mailed check,No,No,Yes,No,0
CUST-000005,26,55.51,1634.19,One year,DSL,No,Yes,Yes,No,No,Yes,Yes,Mailed check,No,No,Yes,Yes,0
CUST-000006,34,89.64,3093.81,Month-to-month,DSL,Yes,No,No,No,Yes,Yes,No,Credit card,Yes,No,Yes,No,0
CUST-000007,5,84.54,399.7,One year,Fiber optic,No,No,No,No,No,Yes,No,Credit card,Yes,No,No,No,1
CUST-000008,27,79.93,2186.49,One year,DSL,No,No,Yes,Yes,No,Yes,Yes,Mailed check,No,Yes,No,No,0
CUST-000009,46,60.78,2916.6,Two year,DSL,No,No,No,No,Yes,Yes,No,Credit card,Yes,No,No,Yes,0
CUST-000010,25,107.51,2737.05,Month-to-month,Fiber optic,No,No,Yes,Yes,No,Yes,Yes,Mailed check,No,Yes,Yes,No,0
CUST-000011,60,89.57,5287.73,Month-to-month,DSL,Yes,No,No,No,No,Yes,Yes,Electronic check,No,No,Yes,Yes,1
CUST-000012,57,96.74,5495.04,Month-to-month,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Bank transfer,Yes,Yes,Yes,No,1
CUST-000013,51,106.88,5667.33,Month-to-month,Fiber optic,No,No,No,Yes,Yes,Yes,No,Bank transfer,Yes,No,No,No,1
